tanggal,tmax_era5,tmin_era5,tmean_era5,tmean_power,tmax_power
1950-01-01,27.7,24.4,25.9,,
1950-01-02,28.9,24.0,25.8,,
1950-01-03,28.5,23.2,25.7,,
1950-01-04,26.4,23.1,24.4,,
1950-01-05,27.5,22.4,24.7,,
1950-01-06,27.8,23.0,25.0,,
1950-01-07,28.6,22.9,25.4,,
1950-01-08,27.6,23.2,25.1,,
1950-01-09,28.3,23.0,25.4,,
1950-01-10,28.4,23.2,25.3,,
1950-01-11,28.6,22.5,25.4,,
1950-01-12,28.2,22.8,25.6,,
1950-01-13,28.9,22.1,25.7,,
1950-01-14,28.5,23.3,26.0,,
1950-01-15,28.4,23.7,25.9,,
1950-01-16,28.5,22.7,25.3,,
1950-01-17,28.3,22.4,25.1,,
1950-01-18,28.4,22.8,25.2,,
1950-01-19,25.4,23.2,24.4,,
1950-01-20,27.7,23.6,25.1,,
1950-01-21,24.8,23.0,24.0,,
1950-01-22,26.1,22.7,23.7,,
1950-01-23,27.1,22.6,24.3,,
1950-01-24,25.9,22.8,23.7,,
1950-01-25,27.7,22.7,24.7,,
1950-01-26,27.7,23.2,25.1,,
1950-01-27,27.1,23.3,25.0,,
1950-01-28,26.5,22.6,24.2,,
1950-01-29,28.6,21.9,25.0,,
1950-01-30,28.5,23.3,25.6,,
1950-01-31,30.2,23.0,26.2,,
1950-02-01,28.4,23.8,25.5,,
1950-02-02,28.3,23.5,25.2,,
1950-02-03,26.0,23.3,24.6,,
1950-02-04,26.9,22.8,24.5,,
1950-02-05,24.8,23.4,23.9,,
1950-02-06,28.5,23.4,25.3,,
1950-02-07,29.1,23.2,25.1,,
1950-02-08,27.3,22.7,24.7,,
1950-02-09,27.8,23.1,25.1,,
1950-02-10,26.2,22.8,23.9,,
1950-02-11,28.6,22.3,24.9,,
1950-02-12,29.6,22.6,25.6,,
1950-02-13,28.1,22.9,25.1,,
1950-02-14,27.3,22.3,24.5,,
1950-02-15,27.2,23.2,24.6,,
1950-02-16,28.6,23.4,25.7,,
1950-02-17,26.8,22.7,24.5,,
1950-02-18,28.3,22.8,25.5,,
1950-02-19,27.6,23.0,24.9,,
1950-02-20,27.5,22.8,24.5,,
1950-02-21,28.6,22.5,25.0,,
1950-02-22,28.2,23.4,25.4,,
1950-02-23,27.7,22.8,24.9,,
1950-02-24,27.4,22.6,24.3,,
1950-02-25,27.9,22.5,24.7,,
1950-02-26,29.1,22.9,25.3,,
1950-02-27,28.0,23.5,24.9,,
1950-02-28,27.7,23.3,24.7,,
1950-03-01,28.7,23.2,25.7,,
1950-03-02,28.4,22.8,25.3,,
1950-03-03,28.6,22.6,25.5,,
1950-03-04,29.2,23.0,25.8,,
1950-03-05,29.2,22.9,25.5,,
1950-03-06,29.1,22.7,25.5,,
1950-03-07,30.7,23.3,26.6,,
1950-03-08,30.9,23.7,27.1,,
1950-03-09,29.9,24.5,26.6,,
1950-03-10,28.6,23.9,25.8,,
1950-03-11,29.1,23.2,25.4,,
1950-03-12,28.5,23.4,25.4,,
1950-03-13,29.8,23.3,25.9,,
1950-03-14,29.3,22.8,25.6,,
1950-03-15,28.8,23.0,25.6,,
1950-03-16,28.9,23.2,25.7,,
1950-03-17,28.6,22.8,25.6,,
1950-03-18,29.2,22.8,25.9,,
1950-03-19,31.6,22.8,26.9,,
1950-03-20,30.2,23.5,26.5,,
1950-03-21,29.3,23.5,26.1,,
1950-03-22,29.3,23.9,26.5,,
1950-03-23,29.5,23.4,26.5,,
1950-03-24,28.8,23.5,26.2,,
1950-03-25,29.3,23.7,26.1,,
1950-03-26,29.4,22.8,25.7,,
1950-03-27,29.2,22.8,25.5,,
1950-03-28,28.1,22.9,25.2,,
1950-03-29,29.6,22.5,25.6,,
1950-03-30,28.7,24.1,26.1,,
1950-03-31,25.6,22.9,24.4,,
1950-04-01,28.4,22.7,25.1,,
1950-04-02,28.6,23.0,25.3,,
1950-04-03,26.7,23.4,24.8,,
1950-04-04,29.2,22.7,25.7,,
1950-04-05,30.0,23.3,26.1,,
1950-04-06,29.3,23.4,26.0,,
1950-04-07,28.1,24.1,25.4,,
1950-04-08,29.1,23.7,26.1,,
1950-04-09,27.7,24.0,25.2,,
1950-04-10,29.5,23.4,25.9,,
1950-04-11,28.9,23.1,25.6,,
1950-04-12,29.4,22.8,25.6,,
1950-04-13,30.0,23.1,25.8,,
1950-04-14,30.0,22.9,25.9,,
1950-04-15,30.8,22.2,26.2,,
1950-04-16,30.1,22.9,26.5,,
1950-04-17,29.5,24.2,26.4,,
1950-04-18,29.5,22.5,25.8,,
1950-04-19,29.9,22.5,25.9,,
1950-04-20,29.8,22.7,26.0,,
1950-04-21,29.4,22.8,25.8,,
1950-04-22,29.2,23.2,25.6,,
1950-04-23,29.1,23.1,25.6,,
1950-04-24,29.4,22.8,26.1,,
1950-04-25,28.8,23.0,25.8,,
1950-04-26,30.2,22.8,25.8,,
1950-04-27,28.3,23.3,25.3,,
1950-04-28,28.3,22.5,25.6,,
1950-04-29,29.5,23.1,25.9,,
1950-04-30,29.7,22.6,26.2,,
1950-05-01,29.6,23.4,26.3,,
1950-05-02,29.7,23.4,26.2,,
1950-05-03,29.0,22.7,25.6,,
1950-05-04,29.1,22.5,25.6,,
1950-05-05,29.1,22.9,26.0,,
1950-05-06,29.8,22.6,25.9,,
1950-05-07,29.4,22.9,25.6,,
1950-05-08,29.6,22.4,25.8,,
1950-05-09,29.7,23.8,26.4,,
1950-05-10,28.6,23.5,25.6,,
1950-05-11,29.4,22.8,25.5,,
1950-05-12,28.9,23.0,25.4,,
1950-05-13,29.2,23.0,25.8,,
1950-05-14,29.8,23.6,26.1,,
1950-05-15,29.1,23.4,25.5,,
1950-05-16,29.8,23.0,25.8,,
1950-05-17,29.0,22.7,25.3,,
1950-05-18,29.2,22.6,25.4,,
1950-05-19,28.1,22.4,24.9,,
1950-05-20,28.0,22.9,24.8,,
1950-05-21,27.5,23.1,25.0,,
1950-05-22,27.0,22.5,24.6,,
1950-05-23,28.8,22.5,25.5,,
1950-05-24,28.7,23.4,25.6,,
1950-05-25,28.0,23.0,25.2,,
1950-05-26,27.5,22.8,24.9,,
1950-05-27,28.0,22.9,25.2,,
1950-05-28,28.7,22.2,25.4,,
1950-05-29,29.5,23.0,25.8,,
1950-05-30,29.1,23.1,25.4,,
1950-05-31,29.1,22.9,25.5,,
1950-06-01,29.5,22.9,25.9,,
1950-06-02,29.8,22.6,26.0,,
1950-06-03,29.8,23.2,26.3,,
1950-06-04,28.9,23.2,25.8,,
1950-06-05,29.4,23.0,26.1,,
1950-06-06,29.6,23.2,26.2,,
1950-06-07,29.2,23.2,25.8,,
1950-06-08,29.4,22.4,25.8,,
1950-06-09,29.3,23.1,26.1,,
1950-06-10,29.0,23.4,25.8,,
1950-06-11,28.7,23.1,25.7,,
1950-06-12,28.3,23.6,25.7,,
1950-06-13,27.9,23.1,25.2,,
1950-06-14,28.1,22.9,25.7,,
1950-06-15,28.5,23.2,25.6,,
