judul,sumber,tanggal,episode,label_leksikon,label_audit
"66 Perusahaan Minat Ekspor Pasir Laut, Kapan Diizinkan?",finance.detik.com,2024-07-30 07:00:00,E2_aturan_persiapan,netral,
Kebutuhan Pasir Laut Untuk Infrastruktur dan Reklamasi Dalam Negeri Tak Tergantung PP Nomor 26 Tahun 2023,Cerinews.id,2023-06-03 07:00:00,E1_pp_disahkan,netral,
"Polemik Penambangan Pasir Laut Merusak Lingkungan, Begini Kata KKP",Mongabay.co.id,2024-10-31 07:00:00,E3_ekspor_dibuka,menolak,
Menanti Pembenahan Pasca MA Cabut Aturan Ekspor Pasir Laut,Mongabay.co.id,2025-07-09 07:00:00,E4_pasca_putusan_ma,netral,
"IUP Tambang Pasir Laut PT Logomas Utama Dicabut, Nelayan Pulau Rupat Serukan Pencabutan Industri Ekstraktif di Pesisir dan Laut Indonesia",WALHI,2023-10-31 07:00:00,E1_pp_disahkan,menolak,
Nelayan Bintan Desak Cabut Izin Tambang Pasir Laut dan PSN di Pulau Poto,HMStimes.com,2026-06-05 07:00:00,E4_pasca_putusan_ma,menolak,
KKP Jelaskan soal Harga Pasir Laut yang Dipatok Sebelum Ekspor Dibuka,CNN Indonesia,2023-06-10 07:00:00,E1_pp_disahkan,netral,
"Ekspor Pasir Laut Kembali Dibuka, Pulau-pulau Kecil di RI Terancam Tenggelam - kumparan.com",Kumparan.com,2023-06-04 07:00:00,E1_pp_disahkan,menolak,
Alasan Singapura Butuh Pasir Laut Indonesia,Tempo.co,2024-09-22 07:00:00,E3_ekspor_dibuka,netral,
Polres Lebak tetapkan dua tersangka kasus tambang pasir laut ilegal,ANTARA News Banten,2026-07-14 07:00:00,E4_pasca_putusan_ma,netral,
Pasir Laut Jadi Sumber Penghidupan Warga Pulau Bacan,finance.detik.com,2025-11-12 08:00:00,E4_pasca_putusan_ma,netral,
Kemendag Jamin Izin Ekspor Pasir Laut Diatur Ketat,CNBC Indonesia,2024-09-24 07:00:00,E3_ekspor_dibuka,mendukung,
Pemprov Riau Cabut IUP Pasir Laut PT Logomas Utama di Rupat,GoRiau.com,2023-10-30 07:00:00,E1_pp_disahkan,netral,
"Ekspor Pasir Laut Diizinkan Setelah 20 Tahun Dilarang, Greenpeace: “Greenwashing Ala Pemerintah”",Greenpeace,2023-05-29 07:00:00,E1_pp_disahkan,menolak,
Pengerukan Pasir Laut di Bangka Terkendala Biaya,Kompas.com,2024-04-17 07:00:00,E2_aturan_persiapan,netral,
"Soal Kebijakan Ekspor Pasir Laut, KKP Sebut Tinggal Tunggu Keputusan Mendag, Segini Harganya",Tribunnews.com,2024-04-29 07:00:00,E2_aturan_persiapan,netral,
Kiara: Cabut dan Batalkan Aturan Sedimentasi Laut!,betahita.id,2023-06-27 07:00:00,E1_pp_disahkan,menolak,
PP soal Izin Ekspor Pasir Laut Tuai Polemik,MetroTVNews.com,2023-05-31 07:00:00,E1_pp_disahkan,netral,
3 Kapal Penambang Pasir Laut yang Ditangkap Bakamla Terafiliasi ke IPR Perkumpulan RAM,kepripedia.com,2024-06-28 07:00:00,E2_aturan_persiapan,netral,
"Saat Bupati Edi Endi Klaim Reklamasi Tidak Haram, Kendati Mawatu Resort Ambil Pasir Laut secara Ilegal",Floresa.co,2025-03-12 07:00:00,E3_ekspor_dibuka,netral,
"Presiden Restui Tambang Pasir Laut, DPRD Kepri: Harus Menguntungkan Daerah",Batam Pos – Kepri,2023-06-04 07:00:00,E1_pp_disahkan,mendukung,
"Ekspor Pasir Laut Berdampak pada Kedaulatan, Persaudaraan Tani-Nelayan: Desak Pemerintah Kaji Ulang",dailyklik.id,2024-09-18 07:00:00,E3_ekspor_dibuka,menolak,
Kritik Pakar ITS soal Surabaya Masuk Daftar Keruk Ekspor Pasir Laut,detikcom,2024-09-21 07:00:00,E3_ekspor_dibuka,menolak,
"Pasokan Pasir Laut Diduga Ilegal Terus Mengalir ke Batam, Kapal Tongkang dari Karimun Disorot",bursakota.co.id,2026-01-06 08:00:00,E4_pasca_putusan_ma,menolak,
PP Ekspor Pasir Laut Disebut Bertentangan dengan Undang Undang - Market,Bloomberg Technoz,2023-07-05 07:00:00,E1_pp_disahkan,netral,
"Penolakan Tambang Pasir Laut dan PSN di Bintan, Walhi: Bukti Negara Gagal Menjaga Laut Kepri",suaraserumpun.com,2026-06-09 07:00:00,E4_pasca_putusan_ma,menolak,
"Ekspor Pasir Laut Dibuka, Kemendag Terbitkan Dua Permendag Baru",Bloomberg Technoz,2024-09-10 07:00:00,E3_ekspor_dibuka,netral,
"Jokowi Buka Keran Ekspor Pasir Laut, Sudah Ada yang Minat?",finance.detik.com,2023-06-15 07:00:00,E1_pp_disahkan,netral,
"Alun Alun Keraton Solo akan Ditimbun Pasir Laut Selatan, Begini Tanggapan Pemerhati Sejarah",Tribunnews.com,2023-07-05 07:00:00,E1_pp_disahkan,netral,
Keran Eskpor Pasir Laut Dibuka: Masyarakat Pesisir Terancam Abrasi Halaman 1,Kompasiana.com,2024-10-02 07:00:00,E3_ekspor_dibuka,menolak,
Aliansi Nelayan Minta Lokasi Prioritas Sedimentasi Pasir Laut di Kepri Dihapus,Batam Pos – Kepri,2026-07-16 07:00:00,E4_pasca_putusan_ma,menolak,
"MAJELIS HAKIM TIPIKOR PN MAKASSAR MENOLAK SEMUA KEBERATAN / EKSEPSI TERDAKWA GAZALI MACHMUD, S.T., M.A.P DALAM PERKARA DUGAAN KORUPSI PENYIMPANGAN PENETAPAN HARGA JUAL PASIR LAUT TAKALAR TA. 2020 - kejati",kejati-jatim.go.id,2023-05-30 07:00:00,E1_pp_disahkan,netral,
"MA Kali Ini Waras, Anulir Aturan Ekspor Pasir Laut",indonesiawatch.id,2025-06-27 07:00:00,E4_pasca_putusan_ma,menolak,
"Saat Penambangan Pasir Tradisional di Kaltim Terhenti, Warga Kehilangan Tumpuan Hidup",Kompas.com,2026-01-13 08:00:00,E4_pasca_putusan_ma,netral,
"Pencurian Pasir Laut RI Marak Terjadi, KKP Terus Kejar Pelakunya",CNBC Indonesia,2024-09-30 07:00:00,E3_ekspor_dibuka,netral,
"Catat, Tak Semua Daerah Boleh Ekspor Pasir Laut",liputan6.com,2023-06-07 07:00:00,E1_pp_disahkan,netral,
"Nyolong Pasir Laut Batam, Kapal Singapura 10 Kali Bolak-balik dalam Sebulan",finance.detik.com,2024-10-12 07:00:00,E3_ekspor_dibuka,netral,
