judul,sumber,tanggal,tautan,relevan,label,n_tolak,n_dukung,episode
"Warga Bitung Belum Tertib Buang Sampah, Bukti Pala dan RT Tak Bekerja?",BeritaManado.com,2022-01-06 08:00:00,https://news.google.com/rss/articles/CBMimgFBVV95cUxPNlVXaGVyU0lVYU5OV21YQlNsZGVkTkFKLTd6c3Eta2ZZYlpZTlBzck1ScFpjRjZmQXZoRVJKa1I5N19SNm1KNEtSNF9GUXJTSy1jbnlzenhmSXg4S0lnZ25uZ1hEQ2lFWlNndVVzcDdUeEhxR2NtZGQ3NHBrb1dSSjhDTXdKcXlGUWx2N19hQ0lQSlc5ZjJDalB3?oc=5,False,di_luar_topik,0,0,E0_sebelum_pp
"Sawah Tercemari Limbah Tambang Pasir, Petani Lebak Tuntut Perbaikan",detikNews,2022-01-12 08:00:00,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQNFFGZmNhbmNJTFdjLWliNkZWVXljeGxod1NBUnFyREkwemw1RUpnYVh5dVdvbnIxMF9tRUZ0ZGZ0cnZZWXVIdzZkcTdhSkxBdkxaVjRpdkVBUFFxeVVkOWxtbFBhNzJ4YWlQRFNwWkU1TDZSMXFJaGN2Vk1sRlJwUjhxRHBwWktyTUVUTlVkdnBxcnBwbkdLeVczTlRrb05oWWV1aDFOb1NBRmI0SU8xUW5reV85QWV40gG-AUFVX3lxTE1QVE8xeWU5OXJQU3JHS09rdjd4R00tSnJWVEl0MWRHaWp0SVJJRzNOUDNJLWFJcERQZDlHNFRwWlZvSlRfeXZpU1FvNlRvZF9YWmoySmVEc2pSMjlwalRFOTBmLWRJd0JMX0FUU2RGUmhBdVRaZHFIUi0xQjcyekRieEJEUFRMaEE4emZOVFFzMmN6ejZUVlhsQkkxTHlxclY2ZnZ4YWdSQWtnM3RIVF9TdG5maklaMzQyRWhXV2c?oc=5,True,menolak,1,0,E0_sebelum_pp
WALHI Riau: Aktivitas Tambang Pasir Laut Menambah Ancaman Terhadap Pulau Rupat,WALHI,2022-01-15 08:00:00,https://news.google.com/rss/articles/CBMiowFBVV95cUxQaFpBNWJGYk9td2stUGRNc2wxbUVKc3lfSENKZnA4b0h5RV9VMldBTTloLWNFNDM2azNVSEs4SFh0WjFxRUdvOVBPOHd1bjRCb3dsMHZRN216TVpKbllDTWhDa0F0TnQtZDNDeDNyVGF4OE11Y0xWWTcwbFN1dy1yTmZkVXIwZjBCb2tES0tWRVBHZ1BkRVJJRExKYi1vUmpxQlY4?oc=5,True,menolak,1,0,E0_sebelum_pp
Mahasiswa Desak Polisi Tangkap Penambang Pasir yang Rusak Pantai Mananga Aba di NTT,Kompas.com,2022-01-17 08:00:00,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPVFh1NFhyN24xRGRtYzFiQ0lRNDlJWFdYUFQ0a0NraUE4RTdBQy00V2FiZEdmTWhUaS1kTzJvZGpXUnRHLXJqRHZlR2hUZWdrdHlSQl8tRV9Pams0bVNXQnJsUkhibFA1M0lrN3VSbkdYNWY4eVIyVFZ2NENHZ3FjNmF4cnVyc0tQcEhrOGdKdEhRQ3BHWlY1Qk5rRGJyMmQ0alR4NTJjU0lManRtMDJNbjkyN2trTUo0ZzN5c3N2N1I0d2JNSXZfeTRjSGtBaHVm?oc=5,False,di_luar_topik,2,0,E0_sebelum_pp
"Fenomena Alam Abrasi: Pengertian, Dampak, dan Cara Mencegahnya - kumparan.com",Kumparan.com,2022-01-20 08:00:00,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPeDVuakdIYU1CTjZsV3hzZVpmM3Nqc2hWZ2ZiTnk2b3E1S0h4cEJvUm56Tk1ScV9ESHo0UmFOMEVVS0dtaUx2U05VMnFsVklkU21zYkpkYmZJbUg4eVVqT1FhTXJPWXpJUngybzdsU0F1YkV4eFRaTDRHcmJneUpnRW83Znl1ZF81UktLMUxtZWNIeTZienN3Ujh1VUxGWHFISUxkQVlLZU7SAbABQVVfeXFMUG5ZWUczaHg1aV8tWHZXTmhTRS0zWmNlSUxJcVBhaDVnZ2dZVHNPa2gybFJabUlscFR1MllhMTI4NnZiQXFabURxemQyR1V2QktsNVBUUndfQmtZdnUydzg0OXFaSlhHcjFJQ1dFa1p3TGZDWHVuR2dPNW9Ob3FEcXRwbDhzYmd0TzlDNFlEbVhmWEZKLTZEN0pkME9INzN2SzFRTjlPVGxTczBVa2NxMHI?oc=5,False,di_luar_topik,1,0,E0_sebelum_pp
"Uji Coba Travel Bubble, Buralimar: Kita Optimis, 2022 Gairah Pariwisata Berangsur Normal",Ulasan.co,2022-01-24 08:00:00,https://news.google.com/rss/articles/CBMipwFBVV95cUxQTUsyMlZWaE9OQThLVzF0aFlQampqZ20yaWFJb0E3Q3hDUXNwcUhXX2xUVHFwYU5yNnMxajRMd2EyYUo4aDBmbWYtMHBzblF0dnk1dkZyM2Zfd1M0Vkc1VXptZUFsdm1iUjJSMHk0Z3dUdzJYQTlCLUowZ3Yxd3c0ZHYzbVJaM1ZwZEdoUEFGaW5ZWjNKSG5JYWQ5b3dRRi1GSFRobi1Sc9IBrwFBVV95cUxQTWhVSFFqQ0sydVd4ek9SRGhScU1oZTI2VXByM2Q4dGdiRzR4R0YweFFPZ2VUOEhaWUJCY2FfQzZQbVJWaWQ0SEh6SjRobEItVHhkSUdVZnpVSHd4VTQ0NmdaVnRJY29YMjdLQWNqdFlXRGxMZ3JsMHBTMmE2ZXpkR2VpallhaDJVVFpQV3ppSnZpU2VBeTVydDliVkZVME1wNWFnanNGcFVXS0pCWUJB?oc=5,False,di_luar_topik,0,0,E0_sebelum_pp
"Tambang Pasir Laut Tanpa Izin, 4 Warga Kupang Ditangkap Polisi",Kompas.com,2022-02-02 08:00:00,https://news.google.com/rss/articles/CBMitgFBVV95cUxQRWZwY2Q1RnY1MW80QXlaWTdldnBmLVZtck9qQXpNaHRVVDJlOGRxQjkyd09va3psLXRUdjR3S2x0RTh2dEt5VXFnTVpaNDM3TDEtenFlYUV1RmpaWVFZQzhmdHBvS1lMeWFvU0x2MTlVUEZjbzlyTEUxX2Q4ODRGUEt6cXFtOFdPb0ZZdDNBQnV4LU5oUnBCSkwzdGRpeENtOVZSbnoyZGNWcUpiOWNZVnd6eU1xdw?oc=5,True,netral,0,0,E0_sebelum_pp
"Pulau di Rupat Terancam Tenggelam, Amir Hamzah Minta Presiden Cabut Izin Konsesi Pasir Laut PT Logo Mas Utama",CAKAPLAH.com,2022-02-02 08:00:00,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPbW1sZWVEWUduY1JGVE0wSTBPRFA3WF9nRW96dkdnZ2hXeHc1M2ZYaEZtcmZLR3JWaGVIME5Rbm1TNk1ZMnBmZWd3VTU4dERzMmJzNDBXdmw1ZXFXRTM0cVhHd3Y4X3Q3WjJ4RWFyd2VuQWNfOFMzdG9HMXlqUjdNZHpfNHlwdGxYdmh1UWlHaWJuTzNfMmliNUlEcUxTd281cVd1ZWlfb0g0WjgtZ2plaDdQZXJFTFhZVWFBMDJKUGNWY2NMeFBaOHJHNXZrNmRmcHBqbHBDUXNoX0FMSkJmVUJqTXRTMzA?oc=5,True,menolak,3,0,E0_sebelum_pp
PT PBM Hentikan Segala Aktivitas di Kawasan IUP-OP,AJNN.net,2022-02-05 08:00:00,https://news.google.com/rss/articles/CBMikAFBVV95cUxNeUxNaDR2NmZxQUgzQmo4NWFldExHQkMtTlZ1bjdYSHIzN0JYZUhndVM4RFlNRHkzaHBOMzl6VFZlVEpxaE54N2NTVUlFeEtpM18tdWg5WGFwRTdhQ1VRbk56dGd1d2ptb1dQdHR6N3VHZ1dRS0puUWhjQy1iZXFBU2lpU2VYUTZLTEY0NDNfOS3SAY4BQVVfeXFMTzl4MWpRV0p0WFRjdlhJVkRPR1phclJoay1lT0RvbUNrOEJhUS14QUZDRWZtUUtOcTlWYnVoZmtDM1R0M192OEtlNm5iRWRBblA1M0o5d1VPN0xkUmlWbVM4MlJVZzA0bzY1dm5Hc3ExWHBjelM3eTJodzU0T3AtVy1yTDBhckRodmxueHRyZw?oc=5,False,di_luar_topik,0,0,E0_sebelum_pp
"Akhirnya, Tambang Pasir Laut Ilegal di Pulau Rupat Dihentikan",jurnas.com,2022-02-13 08:00:00,https://news.google.com/rss/articles/CBMioAFBVV95cUxQNDNGTUxUNDdCNVNBdVZfNkNWNU50Sm1SaHdOVnphd2ZpR2VjUGN5UlBxQ1ppZVV4LTRSUzFPZ21fVnNkaFRTTDBJREw4SWRxTldZVWhYZ0ZESW9kYmMtUGsydVN0VXdkbTNMMEU3Vl90Z0F1WHNrbXpTYXlORnpxalpsb2FMMmVmVkNpLWV6RTc1OThweUNNZDRmR0J2UVRm0gGmAUFVX3lxTE5QQ0VWRkxqY2VTUldJT2tiaWsxRzdqQ09uMDhQSjhrZzduUFAyVjh3ajI1bjdxRjVvMjlndktfdWE4SVdtLVlabm10dFRlQjFtTUN1d3YtdmVaWGFqUFZJR2w4VXFGbTFkLUlpQVA1T0tJeHB4OXd0NDlXalNIZUdfeGFsRE5odVc4T2hkSkhRaERadDRXaWxmY3dPVVpXckhfVDdIQlE?oc=5,True,netral,0,0,E0_sebelum_pp
