tanggal,komoditas,provinsi,harga
2019-09-02,Beras,Nusa Tenggara Barat,9650.0
2019-09-02,Beras,Sulawesi Barat,9800.0
2019-09-02,Beras,Sulawesi Selatan,9950.0
2019-09-02,Beras,Aceh,10150.0
2019-09-02,Beras,Sulawesi Tenggara,10450.0
2019-09-02,Beras,Jawa Tengah,10600.0
2019-09-02,Beras,Jawa Timur,10600.0
2019-09-02,Beras,Gorontalo,10700.0
2019-09-02,Beras,Sulawesi Tengah,10850.0
2019-09-02,Beras,Sumatera Utara,11100.0
2019-09-02,Beras,Bali,11100.0
2019-09-02,Beras,Jawa Barat,11150.0
2019-09-02,Beras,Sulawesi Utara,11200.0
2019-09-02,Beras,DI Yogyakarta,11300.0
2019-09-02,Beras,Sumatera Selatan,11350.0
2019-09-02,Beras,Lampung,11350.0
2019-09-02,Beras,Nusa Tenggara Timur,11500.0
2019-09-02,Beras,Banten,11650.0
2019-09-02,Beras,Kepulauan Bangka Belitung,11700.0
2019-09-02,Beras,Bengkulu,12000.0
2019-09-02,Beras,Jambi,12100.0
2019-09-02,Beras,Papua,12150.0
2019-09-02,Beras,Riau,12300.0
2019-09-02,Beras,Papua Barat,12300.0
2019-09-02,Beras,Kalimantan Timur,12450.0
2019-09-02,Beras,DKI Jakarta,12600.0
2019-09-02,Beras,Kalimantan Selatan,12900.0
2019-09-02,Beras,Maluku,12900.0
2019-09-02,Beras,Maluku Utara,13100.0
2019-09-02,Beras,Kepulauan Riau,13250.0
2019-09-02,Beras,Kalimantan Barat,13250.0
2019-09-02,Beras,Kalimantan Utara,13350.0
2019-09-02,Beras,Kalimantan Tengah,13400.0
2019-09-02,Beras,Sumatera Barat,13700.0
2019-09-03,Beras,Nusa Tenggara Barat,9550.0
2019-09-03,Beras,Sulawesi Barat,9800.0
2019-09-03,Beras,Sulawesi Selatan,9900.0
2019-09-03,Beras,Aceh,10150.0
2019-09-03,Beras,Sulawesi Tenggara,10450.0
2019-09-03,Beras,Jawa Tengah,10600.0
2019-09-03,Beras,Jawa Timur,10600.0
2019-09-03,Beras,Gorontalo,10700.0
2019-09-03,Beras,Sulawesi Tengah,10850.0
2019-09-03,Beras,Sumatera Utara,11100.0
2019-09-03,Beras,Bali,11100.0
2019-09-03,Beras,Jawa Barat,11150.0
2019-09-03,Beras,Sulawesi Utara,11200.0
2019-09-03,Beras,DI Yogyakarta,11300.0
2019-09-03,Beras,Sumatera Selatan,11350.0
2019-09-03,Beras,Lampung,11400.0
2019-09-03,Beras,Nusa Tenggara Timur,11500.0
