event,tanggal,periode,moda,penumpang
NATARU 2024 2025,2024-12-15,H - 10,Angkutan Jalan,131102
NATARU 2024 2025,2024-12-16,H - 9,Angkutan Jalan,118986
NATARU 2024 2025,2024-12-17,H - 8,Angkutan Jalan,99919
NATARU 2024 2025,2024-12-18,H - 7,Angkutan Jalan,158052
NATARU 2024 2025,2024-12-19,H - 6,Angkutan Jalan,191750
NATARU 2024 2025,2024-12-20,H - 5,Angkutan Jalan,178381
NATARU 2024 2025,2024-12-21,H - 4,Angkutan Jalan,189181
NATARU 2024 2025,2024-12-22,H - 3,Angkutan Jalan,194169
NATARU 2024 2025,2024-12-23,H - 2,Angkutan Jalan,222775
NATARU 2024 2025,2024-12-24,H - 1,Angkutan Jalan,221104
NATARU 2024 2025,2024-12-25,H 1,Angkutan Jalan,207618
NATARU 2024 2025,2024-12-26,H + 1,Angkutan Jalan,206409
NATARU 2024 2025,2024-12-27,H + 2,Angkutan Jalan,183944
NATARU 2024 2025,2024-12-28,H + 3,Angkutan Jalan,217676
NATARU 2024 2025,2024-12-29,H + 4,Angkutan Jalan,230527
NATARU 2024 2025,2024-12-30,H + 5,Angkutan Jalan,216316
NATARU 2024 2025,2024-12-31,H + 6,Angkutan Jalan,183279
NATARU 2024 2025,2025-01-01,H + 7,Angkutan Jalan,193439
NATARU 2024 2025,2025-01-02,H + 8,Angkutan Jalan,196839
NATARU 2024 2025,2025-01-03,H + 9,Angkutan Jalan,197530
NATARU 2024 2025,2025-01-04,H + 10,Angkutan Jalan,195371
NATARU 2024 2025,2024-12-15,H - 10,Angkutan Laut,78825
NATARU 2024 2025,2024-12-16,H - 9,Angkutan Laut,44263
NATARU 2024 2025,2024-12-17,H - 8,Angkutan Laut,55706
NATARU 2024 2025,2024-12-18,H - 7,Angkutan Laut,82960
NATARU 2024 2025,2024-12-19,H - 6,Angkutan Laut,90905
NATARU 2024 2025,2024-12-20,H - 5,Angkutan Laut,94233
NATARU 2024 2025,2024-12-21,H - 4,Angkutan Laut,98805
NATARU 2024 2025,2024-12-22,H - 3,Angkutan Laut,102286
NATARU 2024 2025,2024-12-23,H - 2,Angkutan Laut,97487
NATARU 2024 2025,2024-12-24,H - 1,Angkutan Laut,86529
NATARU 2024 2025,2024-12-25,H 1,Angkutan Laut,77110
NATARU 2024 2025,2024-12-26,H + 1,Angkutan Laut,96761
NATARU 2024 2025,2024-12-27,H + 2,Angkutan Laut,91115
NATARU 2024 2025,2024-12-28,H + 3,Angkutan Laut,100423
NATARU 2024 2025,2024-12-29,H + 4,Angkutan Laut,98156
NATARU 2024 2025,2024-12-30,H + 5,Angkutan Laut,85459
NATARU 2024 2025,2024-12-31,H + 6,Angkutan Laut,70926
NATARU 2024 2025,2025-01-01,H + 7,Angkutan Laut,64557
NATARU 2024 2025,2025-01-02,H + 8,Angkutan Laut,87879
NATARU 2024 2025,2025-01-03,H + 9,Angkutan Laut,76414
NATARU 2024 2025,2025-01-04,H + 10,Angkutan Laut,69712
NATARU 2024 2025,2024-12-15,H - 10,Angkutan Perkeretaapian,180991
NATARU 2024 2025,2024-12-16,H - 9,Angkutan Perkeretaapian,159143
NATARU 2024 2025,2024-12-17,H - 8,Angkutan Perkeretaapian,144198
NATARU 2024 2025,2024-12-18,H - 7,Angkutan Perkeretaapian,164330
NATARU 2024 2025,2024-12-19,H - 6,Angkutan Perkeretaapian,180559
NATARU 2024 2025,2024-12-20,H - 5,Angkutan Perkeretaapian,220033
NATARU 2024 2025,2024-12-21,H - 4,Angkutan Perkeretaapian,227499
NATARU 2024 2025,2024-12-22,H - 3,Angkutan Perkeretaapian,235168
NATARU 2024 2025,2024-12-23,H - 2,Angkutan Perkeretaapian,220986
NATARU 2024 2025,2024-12-24,H - 1,Angkutan Perkeretaapian,238219
NATARU 2024 2025,2024-12-25,H 1,Angkutan Perkeretaapian,220725
NATARU 2024 2025,2024-12-26,H + 1,Angkutan Perkeretaapian,223703
NATARU 2024 2025,2024-12-27,H + 2,Angkutan Perkeretaapian,219341
NATARU 2024 2025,2024-12-28,H + 3,Angkutan Perkeretaapian,225258
NATARU 2024 2025,2024-12-29,H + 4,Angkutan Perkeretaapian,245982
NATARU 2024 2025,2024-12-30,H + 5,Angkutan Perkeretaapian,211679
NATARU 2024 2025,2024-12-31,H + 6,Angkutan Perkeretaapian,188813
NATARU 2024 2025,2025-01-01,H + 7,Angkutan Perkeretaapian,218419
NATARU 2024 2025,2025-01-02,H + 8,Angkutan Perkeretaapian,213065
NATARU 2024 2025,2025-01-03,H + 9,Angkutan Perkeretaapian,207495
NATARU 2024 2025,2025-01-04,H + 10,Angkutan Perkeretaapian,212141
NATARU 2024 2025,2024-12-15,H - 10,Angkutan SDP,83709
NATARU 2024 2025,2024-12-16,H - 9,Angkutan SDP,76143
NATARU 2024 2025,2024-12-17,H - 8,Angkutan SDP,90366
NATARU 2024 2025,2024-12-18,H - 7,Angkutan SDP,120370
NATARU 2024 2025,2024-12-19,H - 6,Angkutan SDP,117987
NATARU 2024 2025,2024-12-20,H - 5,Angkutan SDP,142823
NATARU 2024 2025,2024-12-21,H - 4,Angkutan SDP,170464
NATARU 2024 2025,2024-12-22,H - 3,Angkutan SDP,178599
NATARU 2024 2025,2024-12-23,H - 2,Angkutan SDP,156564
NATARU 2024 2025,2024-12-24,H - 1,Angkutan SDP,152011
